Author_Handle,tweet_count
Huaso_Patriota,1
pcp_chile,1
YankoNereo,1
Lubi_Mac,1
irene36051280,1
Yerko20Andres,1
flavio_qr,1
Gbastidas,1
turnoenvivo,1
dedoindicee,1
UnViejoTwiter0,1
catasanmartinlc,1
SM_Horseman,1
LegadoBachelet,1
marcelalealrod1,1
PesteRana,1
EleicaoBr2026,1
IsaC_Chile,1
CuevasUrzua,1
Villabull,1
PonzistaAnti,1
PabloIglesias,1
AngelRCuba,1
rzepedamajmud,1
Sitlalo_Mapach,1
VicenteLag123,1
cubalondra,1
LuisMesina1,1
lauraju35183777,1
JPSanhuezaT,1
MinisPropaganda,1
cesarcombina,1
anti_merluzop,1
DieRipoll,1
javiarce,1
antolinpulido1,1
S_Schwartzmann,1
carlosmpat,1
_GGonzalezH,1
Jimena_1967,1
GCastellanosL,1
hdemauleon,1
LeoChicago1902,1
CholusatSur36,1
maps_black,1
Caroexpress,1
JaimeCaroM,1
PumaChairo,1
aarontsuarez,1
wekoautentico,1
ClaraSensatez,1
llanca,1
La_Patty_Boop,1
NupesNews,1
alfreyes14,1
LolaB0rg,1
SandraComunes,1
elDespierto_26,1
porqueTTarg,1
Pilar_delSur,1
SS_Area51,1
ro_syyy,1
LiaDacosta_27,1
mamalechuza,1
Nanku85415259,1
AndresJouannet,1
sandravlv,1
Hans2412,1
pilita116,1
SebasteanoV,1
RBarraza14,1
MatronaClau,1
STM_Argentina,1
barandista,1
carmen_hertz,1
ForgetKmilo,1
drjorgerachid,1
Twittterina,1
rosales10059,1
BastaPosta,1
VeroTeigeiro,1
desbordes,1
Lautaro_Chile,1
elnuevomariscal,1
camilamhr,1
Mamertos0,1
marcoalcallo,1
agaviriau,1
ParisiPDG,1
AlbodelRon,1
QColoradac,1
BlondeBombCLP,1
IrinoKaremono,1
2paumynn,1
leoromero2024,1
iC_A_D,1
MariaMiral12,1
Niobe_sub0,1
Franciscaaboit2,1
maylwino,1
AscensoHundido,1
MonicaUret53005,1
NikiNikitaLiana,1
AnaMariaGazmuri,1
arevalo_ma92226,1
ConchiLillo,1
mariapaz_ortega,1
AntiHeroReload,1
EstadisticoBo,1
cupidorosado,1
PaisEsponja,1
pupinaplomer,1
TonoArroyoS,1
LuisLobovskyB,1
mrcllpz,1
GeranoaetusMA,1
