,degree,in_degree,out_degree,betweenness,harmonic_closeness,pagerank,eigenvector,k_core,clustering
Caroefi80,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Carolina_Toha,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Carolnauta,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
CarvalloCuevas,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
CataVelascoK,2,2,0,0.0,2.0,0.0017156487564025794,5.141418025745184e-07,2,0
CatalinaSuarezB,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Catalina_valpo,1,1,0,0.0,1.0,0.001235695350087691,2.62540494931669e-07,1,0
Chaarlybenites,1,1,0,0.0,1.0,0.00144900797511653,2.62540494931669e-07,1,0
Cheetosdebol1ta,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
ChilePortadas,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
ClaudiaWitte7,1,1,0,0.0,1.0,0.001209031271959086,2.62540494931669e-07,1,0
ClaudioCrespoG,2,2,0,0.0,2.0,0.002119910586094331,5.141418025745184e-07,1,0
ClaudiodeSanM10,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Colo_Skywalker,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
ConySchon,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Cooperativa,4,0,4,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
Corneliodelp,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
CriminalMental,1,1,0,0.0,1.0,0.0011890332133626324,2.62540494931669e-07,1,0
CristianGeo7,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
Cristobal_Oli,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
CsardeIta2,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
CuevasUrzua,1,1,0,0.0,3.0,0.0014161668394958823,0.22941135219366288,1,0
DFinanciero,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
DMatamala,3,0,3,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
DRESTRUM__Pl,12,6,6,0.0001314339549633667,7.166666666666667,0.002661513617569429,0.22941188821384,3,0
DaJaque29,0,0,0,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,0,0
DalasReview,3,3,0,0.0,3.0,0.004008759475462602,7.657431102173682e-07,1,0
DamAguirreOk,1,1,0,0.0,1.5,0.0013753675970520213,3.0301548790030126e-06,1,0
Dami_Grama,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
DarkoPeric_,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Darth_Sidious3,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
DatosAme24,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
DaunoTotoro,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
DianaKarinaBa,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
DianiTheWarrior,1,1,0,0.0,1.0,0.002088945850203048,2.62540494931669e-07,1,0
Diegllll2,1,0,1,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,1,0
DiegoMac227,1,1,0,0.0,1.0,0.0012490273891519934,2.62540494931669e-07,1,0
Diego_Schalper,2,0,2,0.0,0.0,0.0011290390375732714,1.0939187288819542e-08,2,0
